cbsa_code,cbsa_title,county_name,state_name,state_fips,county_fips,central_outlying
10180,"Abilene, TX",Callahan County,Texas,48,059,Outlying
10180,"Abilene, TX",Jones County,Texas,48,253,Outlying
10180,"Abilene, TX",Taylor County,Texas,48,441,Central
10380,"Aguadilla, PR",Aguada Municipio,Puerto Rico,72,003,Central
10380,"Aguadilla, PR",Aguadilla Municipio,Puerto Rico,72,005,Central
10380,"Aguadilla, PR",Añasco Municipio,Puerto Rico,72,011,Central
10380,"Aguadilla, PR",Isabela Municipio,Puerto Rico,72,071,Central
10380,"Aguadilla, PR",Moca Municipio,Puerto Rico,72,099,Central
10380,"Aguadilla, PR",Rincón Municipio,Puerto Rico,72,117,Central
10380,"Aguadilla, PR",San Sebastián Municipio,Puerto Rico,72,131,Central
10420,"Akron, OH",Portage County,Ohio,39,133,Central
10420,"Akron, OH",Summit County,Ohio,39,153,Central
10500,"Albany, GA",Dougherty County,Georgia,13,095,Central
10500,"Albany, GA",Lee County,Georgia,13,177,Central
10500,"Albany, GA",Terrell County,Georgia,13,273,Outlying
10500,"Albany, GA",Worth County,Georgia,13,321,Outlying
10540,"Albany, OR",Linn County,Oregon,41,043,Central
10580,"Albany-Schenectady-Troy, NY",Albany County,New York,36,001,Central
10580,"Albany-Schenectady-Troy, NY",Rensselaer County,New York,36,083,Central
10580,"Albany-Schenectady-Troy, NY",Saratoga County,New York,36,091,Outlying
10580,"Albany-Schenectady-Troy, NY",Schenectady County,New York,36,093,Central
10580,"Albany-Schenectady-Troy, NY",Schoharie County,New York,36,095,Outlying
10740,"Albuquerque, NM",Bernalillo County,New Mexico,35,001,Central
10740,"Albuquerque, NM",Sandoval County,New Mexico,35,043,Central
10740,"Albuquerque, NM",Torrance County,New Mexico,35,057,Outlying
10740,"Albuquerque, NM",Valencia County,New Mexico,35,061,Outlying
10780,"Alexandria, LA",Grant Parish,Louisiana,22,043,Outlying
10780,"Alexandria, LA",Rapides Parish,Louisiana,22,079,Central
10900,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,New Jersey,34,041,Central
10900,"Allentown-Bethlehem-Easton, PA-NJ",Carbon County,Pennsylvania,42,025,Outlying
10900,"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,Pennsylvania,42,077,Central
10900,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County,Pennsylvania,42,095,Central
11020,"Altoona, PA",Blair County,Pennsylvania,42,013,Central
11100,"Amarillo, TX",Armstrong County,Texas,48,011,Outlying
11100,"Amarillo, TX",Carson County,Texas,48,065,Outlying
11100,"Amarillo, TX",Oldham County,Texas,48,359,Outlying
11100,"Amarillo, TX",Potter County,Texas,48,375,Central
11100,"Amarillo, TX",Randall County,Texas,48,381,Central
11180,"Ames, IA",Boone County,Iowa,19,015,Outlying
11180,"Ames, IA",Story County,Iowa,19,169,Central
11200,"Amherst Town-Northampton, MA",Hampshire County,Massachusetts,25,015,Central
11260,"Anchorage, AK",Anchorage Municipality,Alaska,02,020,Central
11260,"Anchorage, AK",Matanuska-Susitna Borough,Alaska,02,170,Outlying
11460,"Ann Arbor, MI",Washtenaw County,Michigan,26,161,Central
11500,"Anniston-Oxford, AL",Calhoun County,Alabama,01,015,Central
11540,"Appleton, WI",Calumet County,Wisconsin,55,015,Central
11540,"Appleton, WI",Outagamie County,Wisconsin,55,087,Central
11640,"Arecibo, PR",Arecibo Municipio,Puerto Rico,72,013,Central
11640,"Arecibo, PR",Camuy Municipio,Puerto Rico,72,027,Central
11640,"Arecibo, PR",Hatillo Municipio,Puerto Rico,72,065,Central
11640,"Arecibo, PR",Quebradillas Municipio,Puerto Rico,72,115,Central
11700,"Asheville, NC",Buncombe County,North Carolina,37,021,Central
11700,"Asheville, NC",Henderson County,North Carolina,37,089,Central
11700,"Asheville, NC",Madison County,North Carolina,37,115,Outlying
12020,"Athens-Clarke County, GA",Clarke County,Georgia,13,059,Central
12020,"Athens-Clarke County, GA",Madison County,Georgia,13,195,Outlying
12020,"Athens-Clarke County, GA",Oconee County,Georgia,13,219,Central
12020,"Athens-Clarke County, GA",Oglethorpe County,Georgia,13,221,Outlying
12060,"Atlanta-Sandy Springs-Roswell, GA",Barrow County,Georgia,13,013,Outlying
12060,"Atlanta-Sandy Springs-Roswell, GA",Butts County,Georgia,13,035,Outlying
12060,"Atlanta-Sandy Springs-Roswell, GA",Carroll County,Georgia,13,045,Outlying
12060,"Atlanta-Sandy Springs-Roswell, GA",Clayton County,Georgia,13,063,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Coweta County,Georgia,13,077,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Dawson County,Georgia,13,085,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",DeKalb County,Georgia,13,089,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Douglas County,Georgia,13,097,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Fayette County,Georgia,13,113,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Forsyth County,Georgia,13,117,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Fulton County,Georgia,13,121,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Gwinnett County,Georgia,13,135,Central
12060,"Atlanta-Sandy Springs-Roswell, GA",Heard County,Georgia,13,149,Outlying
12060,"Atlanta-Sandy Springs-Roswell, GA",Henry County,Georgia,13,151,Central
